model,MAE,RMSE,MAPE
LightGBM (base),17316.665328104817,54475.90710309657,180.2272837678499
Ensemble (LGB+CB),17349.778715537417,55490.48417850066,168.3273601194766
CatBoost,17404.028319547728,55672.15417456657,174.07255986148772
LightGBM (tuned),17837.268173898072,55140.76876832156,168.8583886656495
Ridge,18250.511479273886,55842.225574298136,152.7425102989043
Median baseline,21800.0818367347,60128.467151198594,300.79777684752383
