model,MAE,RMSE,MAPE
LightGBM (tuned),13584.000881886646,46781.92904677317,162.11829184636997
LightGBM (base),13859.594061943142,47389.53329125481,164.8905692090643
CatBoost,17386.758107305697,60457.3572775571,176.71586978720774
Ridge,22948.30937131301,63507.86311774566,680.9139941680612
Median baseline,23102.974314329735,65949.30869352716,464.0532793079357
