model,MAE,RMSE,MAPE
Ensemble (LGB+CB),16971.70584842625,59153.389557327224,125.4033113299666
LightGBM (base),17019.016500455164,58141.54076177077,142.27349475112135
CatBoost,17053.99252729381,59881.60535098828,128.78133165395212
LightGBM (tuned),17067.513133542376,57227.42309766629,132.438918740621
Ridge,19399.918950908253,60893.23423116259,136.43677480599757
Median baseline,23102.974314329735,65949.30869352716,273.7392262788603
